---Example Data---
Standard & Poors 500 Index,Last: 3990.5601,Change:  56.1801
"Date: December 12, 2022 at 8:30 PM EST",Bid: 3962.01,Ask: 4016.6299,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Dec 12 2022,SPXW221212C01000000,2943.2,0.25,0,0,8,0,0,0,1,1000.00,SPXW221212P01000000,0,0,0,0,0,0,0,0,0
Mon Dec 12 2022,SPXW221212C01200000,2742.3,-0.7,0,0,1,0,0,0,0,1200.00,SPXW221212P01200000,0,0,0,0,0,0,0,0,0
Mon Dec 12 2022,SPXW221212C01400000,0,0,0,0,0,0,0,0,0,1400.00,SPXW221212P01400000,0,0,0,0,0,0,0,0,0
Mon Dec 12 2022,SPXW221212C01600000,2342.2,-0.8,0,0,1,0,0,0,1,1600.00,SPXW221212P01600000,0,0,0,0,0,0,0,0,0
Mon Dec 12 2022,SPXW221212C01800000,2142.3,-0.75,0,0,1,0,0,0,0,1800.00,SPXW221212P01800000,0.05,0,0,0,0,0,0,0,1
Mon Dec 12 2022,SPXW221212C02000000,0,0,0,0,0,0,0,0,0,2000.00,SPXW221212P02000000,0,0,0,0,0,0,0,0,0
Mon Dec 12 2022,SPXW221212C02200000,1742.3,-0.75,0,0,1,0,0,0,0,2200.00,SPXW221212P02200000,0.05,0,0,0,0,0,0,0,14
Mon Dec 12 2022,SPXW221212C02400000,1535.4,0,0,0,0,0,0,0,6,2400.00,SPXW221212P02400000,0.05,0,0,0,0,0,0,0,2
Mon Dec 12 2022,SPXW221212C02600000,1333.85,0,0,0,0,0,0,0,2,2600.00,SPXW221212P02600000,0.05,0,0,0,0,0,0,0,19
Mon Dec 12 2022,SPXW221212C02800000,0,0,0,0,0,0,0,0,0,2800.00,SPXW221212P02800000,0.05,0,0,0,0,0,0,0,60
Mon Dec 12 2022,SPXW221212C02900000,0,0,0,0,0,0,0,0,0,2900.00,SPXW221212P02900000,0.05,0,0,0,0,0,0,0,659
Mon Dec 12 2022,SPXW221212C03000000,943.2,0.15,0,0,1,0,0,0,0,3000.00,SPXW221212P03000000,0.05,0,0,0,0,0,0,0,1331
Mon Dec 12 2022,SPXW221212C03050000,0,0,0,0,0,0,0,0,0,3050.00,SPXW221212P03050000,0.05,0,0,0,0,0,0,0,377
Mon Dec 12 2022,SPXW221212C03100000,835.1,0,0,0,0,0,0,0,2,3100.00,SPXW221212P03100000,0.05,0,0,0,0,0,0,0,1569
